song_number,mean_mfcc,std_mfcc,skew_mfcc,kurtosis_mfcc,delta_mean,delta2_mean,spectral_centroid,spectral_rolloff,hnr,pitch,tempo,chroma_mean,song_length,agglo_label
01,-2.9795763039396204,15.399257170463269,-0.057060172072504314,0.6243765493341777,6.1937359402461825e-06,4.974212453002531e-06,13829.613919318199,32202.9052734375,-7.186524914790871,11714.121395071716,419.0244932432433,1.5224491266451174,0.22151927437641725,4
02,-3.8369886874014854,17.064967351826866,-0.1938003371010346,0.555071932176283,0.0003166326233427563,-0.0001316702332754226,14893.516086622509,36944.17660361842,-9.615773848026894,9822.032440107901,360.55595930232556,1.9021759337159874,0.20927437641723357,4
03,-1.4364065389686596,18.079617787131603,0.03248851207186919,0.6350741518701489,1.4235447476300129e-05,-2.91680082976952e-06,14631.122656057716,32318.646240234375,-3.8279821387393222,11524.777508661398,500.12600806451616,0.6366255906598577,0.5548526077097505,5
04,-5.942629838308917,19.593373846949483,0.03233847153618362,0.6024291987277495,6.17832923017411e-17,-2.559419789519779e-16,12515.583319042667,29809.31974712171,-16.815362336169066,6649.539727363144,674.0828804347826,0.9594117043639221,0.4331292517006803,0
05,-6.867610294304417,11.986611897614036,-0.012699730954957755,0.38904415603793047,-0.0009599911408962248,-0.0008796924566206381,13795.628354051589,33864.0380859375,-20.354463632563906,3162.123239542848,620.15625,1.1504208051579399,0.47904761904761906,2
06,-5.087041507872158,17.246033472746813,0.08282042440372368,0.6344234445196768,0.00028910830953363185,-1.434437087217362e-05,13337.940768950331,31468.345199092742,-14.828061719565284,11865.308534197762,352.3615056818182,1.575629665032223,0.7180725623582767,1
07,-7.950296558323901,16.208083708273275,-0.21879248385274447,1.4270635146657835,8.540958298873255e-17,-2.857438754348984e-16,12000.036392499815,28427.4169921875,-23.072598945838774,4141.043704075469,419.0244932432433,1.089864042128544,0.4065532879818594,0
08,0.013917806604176592,17.017686622620758,-0.07910891987142932,0.48891618651674573,-0.0004969038784055512,-0.0003207617950296642,13664.533616738325,29651.220703125,1.0274078260798778,11981.69209274024,574.21875,0.9985195541596026,0.5077097505668934,5
09,-10.56778721085277,13.54945143602184,0.06303189156098907,0.7664386863305677,-0.00140851895428058,-8.788222246176779e-06,11316.852199252888,29481.799086084906,-31.482576954535677,1340.6350899528936,596.3040865384615,1.74533683555989,0.6115646258503401,2
10,-1.6439921963143707,16.144853918121214,-0.038819651239074826,1.1301162646322978,0.00041296969863436554,0.00023972785638864329,15769.05256872248,36288.55683924788,-3.92597230040099,11955.635432012676,442.96875,1.7563462794347258,0.6749659863945578,1
100,-8.26605016105065,12.513779531682975,0.08043004209374424,0.301673231967109,-0.0015089541166237628,-0.0007730636980873764,12727.347343852285,33410.50119707661,-24.485908322322977,530.8403446688981,775.1953125,1.6491547720147701,0.35696145124716555,2
101,-6.673275311528397,15.983929663948413,-0.21683076086385195,1.4945296901815026,7.087156684819598e-17,-2.57169973347282e-16,12600.198252628545,29363.291015625,-19.298307280267984,6217.657087184347,815.9950657894738,1.0010438024837844,0.4051020408163265,0
102,-11.077449847524548,17.07997236793629,0.16152974256274324,0.8675482920311254,-3.370385289391398e-06,-0.0010690958006209232,10832.551386516254,25096.075274493247,-32.64413571834008,2488.681767463104,407.9975328947369,1.7145819113222478,0.4241496598639456,2
103,0.30412744985286333,19.539935546840173,-0.07570105346847869,0.5660080565278397,-7.9468085793977e-05,-0.00012616909405038817,12139.817573054941,27042.1678229944,1.5289847753372423,11826.86944780258,378.1440548780488,1.2754377631864988,0.7715419501133787,5
104,-2.5279535399096797,15.974013907344244,-0.05093045493909243,1.0313219451361924,2.105569640010884e-17,-1.0811329604793573e-16,15041.780373204147,33166.596461054105,-6.797799469363216,11315.764689552618,674.0828804347826,1.4989792455800954,0.7753514739229025,1
